,Name,Category,Bio,Aliases,Flights,Documents,Connections,In Black Book,Nationality
0,Ghislaine Maxwell,associate,Convicted sex trafficker; Epstein's closest associate and primary recruiter; serving 20 years,['G-Max'],413,900,123,True,British
1,Jeffrey Epstein,other,Convicted sex offender; financier; died in custody August 2019,['Jeffrey Edward Epstein'],553,414,119,False,American
2,Sarah Kellen,associate,Epstein's primary scheduler; named co-conspirator with immunity; 364+ flights,['Sarah Kellen Vickers'],364,23,74,True,American
3,Lesley Groff,associate,Epstein's executive assistant for two decades; named co-conspirator with immunity; 92+ flights,[],92,19,36,True,American
4,Nadia Marcinkova,associate,Slovak-born Epstein associate brought to US as a teenager; named co-conspirator; became his pilot,"['Nadia Marcinko', 'Global Girl']",140,9,33,True,Slovakian
5,Igor Zinoviev,associate,Russian MMA fighter (UFC veteran); Epstein bodyguard who was present during victim visits,[],19,6,30,True,Russian-American
6,Adriana Ross,associate,Polish former model; Epstein assistant; named co-conspirator granted immunity in 2008 NPA,['Adriana Mucinska'],43,9,27,True,Polish
7,Caren Casey,associate,Flight attendant on Epstein's private aircraft fleet,[],11,0,22,True,American
8,Larry Visoski,associate,Epstein's chief pilot for 28 years; key Maxwell trial witness; confirmed passengers,['Lawrence Visoski'],281,4,19,True,American
9,Alfredo Rodriguez,associate,Epstein butler who stole the black book; convicted of obstruction; died 2015,[],280,10,18,False,American
10,Bill Hammond,associate,Florida pilot on Epstein's Gulfstream and Boeing 727 fleet,['BH'],44,0,16,False,American
11,Jennifer Kalin,associate,Epstein associate linked to arranged marriage for his girlfriend,['Jennifer Ann Kalin'],10,0,15,False,American
12,Lana Catterton,associate,Appeared on 8+ Epstein flight manifests,[],8,0,15,False,
13,Donald Trump,politician,"45th/47th President; flew on Epstein's planes 7+ times, 16 black book numbers",[],3,12,14,True,American
14,Natalya Malyshev,associate,Epstein recruiter; named defendant in Sarah Ransome's civil lawsuit,"['Natalya Maryshov', 'Natasha Malyshev', 'Natasha']",3,0,14,False,Russian
15,Prince Andrew,royalty,Duke of York; accused of abuse on three occasions; settled civil suit for ~$12M,"['Duke of York', 'Andrew Albert Christian Edward']",26,9,13,True,British
16,Pralaya Cuomo,other,Sex trafficking survivor and advocate; appeared on 2 Epstein flights,[],3,0,13,False,American
17,Jean-Luc Brunel,associate,French modeling agent; charged with sex trafficking; died in custody before trial,[],21,2,12,True,French
18,Alan Dershowitz,legal,"Harvard Law professor; Epstein defense attorney who negotiated 2008 NPA; accused by Giuffre, later recanted",[],33,7,12,True,American
19,Virginia Giuffre,other,Central Epstein accuser and trafficking survivor; recruited at 16; died April 2025,"['Virginia Roberts', 'Virginia Roberts Giuffre']",48,34,12,False,American-Australian
20,Lance Calloway,associate,Epstein's personal chef on Little St. James Island (2006-2009),[],3,0,12,False,American
21,Darren Indyke,associate,Epstein's personal attorney and estate co-executor; subpoenaed for House Oversight deposition (Mar 2026),[],18,4,11,True,American
22,Bill Clinton,politician,42nd President; 26+ Epstein flight legs; scheduled for House Oversight deposition (Feb 2026),['William Jefferson Clinton'],38,8,11,True,American
23,Chauntae Davies,other,Epstein survivor; recruited as masseuse; flew on 2002 Africa trip; Netflix documentary subject,[],20,0,11,False,American
24,Audrey Strauss,associate,Acting United States Attorney,[],0,9,11,False,
25,Vanessa Breuer,associate,Flew with Epstein's core inner circle in 2006,[],2,0,11,False,
26,Minor Victim-1,associate,One of the alleged victims of Maxwell and Epstein's abuse,[],0,3,10,False,
27,Minor Victim-3,associate,Alleged victim of sexual abuse,[],0,7,10,False,
28,Minor Victim-2,associate,Another alleged victim of Maxwell and Epstein's abuse,[],0,6,10,False,
29,Valdson Cotrin,associate,Recipient of a shipment,[],1,1,10,False,
